Model,Years_Working,Production_Year,Range_km,Engine_Type,Fuel_Consumption,Capacity,Hourly_Maintenance_Cost,Region,Price_USD
Airbus A380,14,2010,14989,Turbofan,13.16,858,2249.45,Asia,240589562.87
Airbus A380,4,2020,15369,Turbofan,12.21,853,1511.92,Africa,348072192.68
Boeing 747,15,2009,13356,Turbofan,9.47,657,4970.77,North America,166858074.8
Cessna 172,8,2016,805,Piston,0.04,4,4676.13,South America,295133.23
Airbus A380,4,2020,15012,Turbofan,11.33,857,2208.84,Europe,359707476.59
Cessna 172,29,1995,1407,Piston,0.04,4,3662.07,Oceania,100000.0
Boeing 777,1,2023,15333,Turbofan,6.74,386,4632.98,Oceania,293903007.66
Airbus A350-1000,4,2020,15893,Turbofan,5.23,420,1904.48,Europe,291384786.12
Boeing 777,24,2000,15668,Turbofan,7.32,390,4211.48,Europe,118377530.14
Boeing 737,21,2003,6314,Turbofan,2.58,203,2530.99,Asia,33574427.36
Boeing 747,21,2003,13783,Turbofan,9.21,660,886.14,North America,162928933.98
Boeing 777,24,2000,15204,Turbofan,6.5,390,1886.79,Africa,118874207.65
Airbus A320,25,1999,6308,Turbofan,2.35,182,2680.12,Europe,30859407.96
Boeing 737,1,2023,6275,Turbofan,2.46,209,4303.73,North America,112460852.72
Boeing 737,22,2002,6778,Turbofan,2.9,217,1756.81,Asia,32158856.94
Boeing 737,26,1998,6582,Turbofan,2.61,208,2878.14,North America,20896443.59
Boeing 747,11,2013,13422,Turbofan,10.51,650,834.81,North America,194348702.66
Airbus A350-1000,2,2022,16219,Turbofan,5.51,419,846.01,Europe,353175752.87
Airbus A380,3,2021,15048,Turbofan,12.49,859,2385.07,North America,395911510.49
Airbus A320,26,1998,6530,Turbofan,2.34,186,2230.7,Asia,26675341.08
Airbus A350-1000,7,2017,16320,Turbofan,4.73,412,822.51,North America,261648727.65
Airbus A350-1000,2,2022,15951,Turbofan,4.92,413,1249.22,Asia,314369104.46
Boeing 737,24,2000,6355,Turbofan,2.94,208,991.7,South America,24287845.88
Airbus A320,29,1995,6643,Turbofan,2.57,190,819.17,South America,24961217.84
Boeing 747,23,2001,13427,Turbofan,9.51,668,3167.11,North America,134801620.88
Airbus A380,5,2019,15349,Turbofan,11.33,848,3973.9,Middle East,304993107.8
Airbus A380,4,2020,14998,Turbofan,11.38,841,4157.33,North America,294006446.69
Cessna 172,16,2008,1661,Piston,0.04,4,1507.04,North America,163756.95
Boeing 747,22,2002,13822,Turbofan,10.81,663,650.0,North America,132098291.58
Boeing 737,16,2008,6082,Turbofan,2.65,209,3906.85,Africa,43471750.53
Boeing 777,28,1996,16119,Turbofan,7.39,392,3153.39,North America,90610407.67
Airbus A380,12,2012,14943,Turbofan,12.19,850,4287.87,South America,212486901.26
Cessna 172,29,1995,1708,Piston,0.04,4,4913.08,Europe,100000.0
Cessna 172,0,2024,1731,Piston,0.04,4,4983.18,North America,431885.9
Airbus A350-1000,3,2021,15912,Turbofan,5.71,408,1524.73,North America,366995767.85
Boeing 777,28,1996,15592,Turbofan,6.35,388,576.65,Africa,84741212.66
Airbus A380,6,2018,15085,Turbofan,12.48,845,1359.29,North America,281190887.76
Boeing 747,24,2000,14042,Turbofan,10.62,658,3301.92,Oceania,115182890.1
Boeing 747,4,2020,13589,Turbofan,10.21,664,1865.88,Middle East,363903079.52
Airbus A320,15,2009,5852,Turbofan,2.6,176,1016.76,Europe,41171690.07
Airbus A320,25,1999,6752,Turbofan,2.64,176,1920.19,Oceania,23461690.92
Airbus A320,27,1997,6761,Turbofan,2.47,182,1602.57,Middle East,23213922.31
Airbus A320,31,1993,6140,Turbofan,2.26,184,1163.5,Middle East,18045612.15
Airbus A380,11,2013,15400,Turbofan,12.81,857,4502.94,Asia,291739205.38
Airbus A350-1000,5,2019,16170,Turbofan,5.64,406,3117.07,North America,287322847.68
Boeing 747,12,2012,13605,Turbofan,10.87,659,3168.35,Africa,255352360.55
Boeing 737,2,2022,6646,Turbofan,2.87,203,1531.77,Africa,77977624.27
Boeing 747,17,2007,13673,Turbofan,9.08,661,3655.13,Europe,175737047.58
Airbus A350-1000,1,2023,16530,Turbofan,5.4,417,3159.02,Middle East,393623819.71
Cessna 172,34,1990,1770,Piston,0.04,4,4136.67,Africa,100000.0
Boeing 737,7,2017,6826,Turbofan,2.61,215,4299.88,Europe,61231163.67
Airbus A350-1000,6,2018,16366,Turbofan,4.84,400,3296.39,Europe,291485120.88
Cessna 172,29,1995,1279,Piston,0.04,4,2920.61,South America,100000.0
Boeing 737,8,2016,6919,Turbofan,2.79,200,4302.18,North America,59243826.43
Boeing 737,29,1995,6475,Turbofan,2.58,213,1197.77,Europe,18881547.28
Cessna 172,25,1999,795,Piston,0.04,4,2849.71,South America,132464.85
Boeing 777,10,2014,15872,Turbofan,6.5,397,2666.99,Africa,178579198.17
Boeing 777,20,2004,15321,Turbofan,6.25,403,2613.41,South America,140361639.89
Cessna 172,29,1995,1090,Piston,0.04,4,1272.96,Oceania,100000.0
Airbus A380,10,2014,15033,Turbofan,11.02,842,4375.49,Asia,315833535.21
Airbus A320,15,2009,6006,Turbofan,2.31,177,666.04,Europe,39961190.92
Boeing 777,30,1994,15329,Turbofan,7.37,390,1774.23,Europe,76104465.46
Airbus A380,8,2016,14914,Turbofan,12.23,855,1711.91,North America,330271863.72
Airbus A320,4,2020,5885,Turbofan,2.36,179,3608.39,North America,88024620.08
Airbus A380,6,2018,14844,Turbofan,12.04,845,3962.52,North America,390376139.74
Airbus A320,4,2020,6322,Turbofan,2.36,186,3743.13,Asia,75255015.04
Airbus A380,14,2010,14996,Turbofan,11.64,854,3538.04,Oceania,211204969.5
Airbus A380,17,2007,15461,Turbofan,10.95,848,4779.99,Europe,155131971.2
Boeing 747,11,2013,13844,Turbofan,10.28,670,1891.6,Europe,232756027.16
Boeing 777,3,2021,16102,Turbofan,6.9,394,3915.19,Oceania,335175504.72
Airbus A350-1000,6,2018,16581,Turbofan,4.93,404,4945.4,South America,241992282.02
Cessna 172,3,2021,796,Piston,0.04,4,3454.94,Europe,318164.22
Airbus A320,3,2021,6044,Turbofan,2.65,181,3350.67,North America,94826339.94
Boeing 737,5,2019,6337,Turbofan,2.43,209,3369.11,South America,85681084.28
Boeing 737,17,2007,6469,Turbofan,2.51,210,2007.66,Asia,47019537.15
Airbus A350-1000,3,2021,15951,Turbofan,5.28,402,3443.82,Europe,355531420.11
Cessna 172,32,1992,1526,Piston,0.04,4,4091.47,Asia,100000.0
Cessna 172,23,2001,787,Piston,0.04,4,2996.92,Oceania,143555.52
Airbus A380,5,2019,15554,Turbofan,12.39,856,1583.37,South America,403488780.13
Airbus A380,3,2021,15619,Turbofan,12.89,845,4579.55,South America,413217997.2
Cessna 172,20,2004,1206,Piston,0.04,4,990.89,North America,157747.22
Cessna 172,14,2010,1733,Piston,0.04,4,2742.93,Oceania,195112.42
Airbus A380,0,2024,14862,Turbofan,11.78,857,2224.94,Oceania,358593187.99
Airbus A320,30,1994,6641,Turbofan,2.45,178,1178.76,North America,19174763.96
Cessna 172,32,1992,1358,Piston,0.04,4,4192.21,Africa,100000.0
Airbus A380,4,2020,15543,Turbofan,11.67,859,3853.81,Middle East,295113835.05
Boeing 777,10,2014,15852,Turbofan,6.79,390,762.35,Oceania,252444059.23
Boeing 737,4,2020,6524,Turbofan,2.7,211,2164.12,Oceania,92225838.27
Cessna 172,0,2024,818,Piston,0.04,4,1654.76,Middle East,375525.33
Airbus A320,21,2003,5894,Turbofan,2.4,189,1896.42,Middle East,30715705.25
Airbus A350-1000,6,2018,16464,Turbofan,5.32,401,4514.7,Asia,302862924.91
Boeing 747,32,1992,14241,Turbofan,9.73,662,1091.14,Europe,79662160.27
Airbus A380,2,2022,15503,Turbofan,11.29,854,3036.86,Middle East,476701595.85
Boeing 737,2,2022,6506,Turbofan,2.76,216,1449.33,Oceania,93091804.87
Boeing 777,21,2003,15809,Turbofan,6.49,387,2136.12,North America,140676637.23
Boeing 777,18,2006,15904,Turbofan,7.27,389,1893.22,North America,117357436.6
Airbus A380,15,2009,15340,Turbofan,12.45,846,4524.49,Africa,171962257.49
Airbus A350-1000,6,2018,15724,Turbofan,5.4,412,734.57,South America,217963322.11
Airbus A350-1000,5,2019,16590,Turbofan,5.04,415,3447.35,Oceania,234554778.52
Boeing 747,5,2019,13688,Turbofan,10.91,651,2325.45,Middle East,363888605.56
Boeing 737,1,2023,6754,Turbofan,2.91,220,2166.94,Oceania,93765845.71
Airbus A320,11,2013,6368,Turbofan,2.56,181,869.56,Middle East,48739077.29
Boeing 747,2,2022,14127,Turbofan,9.67,659,4014.83,Africa,378475474.93
Boeing 737,28,1996,6583,Turbofan,2.57,201,2471.61,Oceania,26152312.97
Boeing 777,29,1995,15975,Turbofan,6.53,398,3395.52,Europe,96341706.23
Boeing 747,27,1997,13791,Turbofan,9.31,662,2906.45,North America,102379486.69
Airbus A380,18,2006,14923,Turbofan,11.88,841,1829.38,Africa,162477267.35
Boeing 737,29,1995,6154,Turbofan,2.62,205,4806.02,Oceania,19304130.39
Airbus A380,13,2011,15375,Turbofan,10.93,850,3390.7,Africa,235944373.69
Boeing 737,3,2021,6434,Turbofan,2.51,203,4058.14,South America,80532075.53
Cessna 172,30,1994,1326,Piston,0.04,4,1152.17,Asia,100000.0
Boeing 777,17,2007,15617,Turbofan,6.33,402,4843.75,Europe,133372658.84
Airbus A320,30,1994,6482,Turbofan,2.52,170,4329.65,Asia,19580862.51
Boeing 737,23,2001,6726,Turbofan,2.54,204,2215.31,Asia,28843091.5
Cessna 172,7,2017,1766,Piston,0.04,4,4804.28,Asia,328320.22
Cessna 172,18,2006,1093,Piston,0.04,4,2956.45,Europe,153679.27
Airbus A380,13,2011,14991,Turbofan,11.95,853,3748.2,Middle East,256787263.69
Boeing 777,5,2019,15573,Turbofan,7.34,386,4180.11,Europe,274530641.73
Airbus A350-1000,4,2020,16390,Turbofan,5.13,400,1314.87,North America,330675513.6
Boeing 747,6,2018,13805,Turbofan,9.91,669,2656.66,North America,329112826.96
Airbus A380,16,2008,14780,Turbofan,11.12,846,3011.66,Middle East,208407284.33
Cessna 172,18,2006,917,Piston,0.04,4,1409.72,Europe,180858.46
Boeing 777,7,2017,15860,Turbofan,7.47,400,1811.45,Oceania,278932621.56
Airbus A320,22,2002,5860,Turbofan,2.44,182,1031.83,Asia,27021984.25
Airbus A350-1000,4,2020,15733,Turbofan,5.0,415,4061.16,Middle East,355150082.33
Airbus A320,5,2019,6749,Turbofan,2.41,181,4181.33,Europe,84470062.97
Airbus A380,3,2021,14881,Turbofan,11.35,847,2994.08,Asia,335993857.92
Boeing 737,20,2004,7062,Turbofan,2.57,206,2522.37,Europe,30496800.03
Airbus A320,9,2015,6268,Turbofan,2.47,171,3093.18,Europe,54170611.37
Airbus A350-1000,7,2017,16156,Turbofan,4.85,414,4624.82,Africa,288019421.65
Airbus A320,4,2020,5947,Turbofan,2.31,188,3328.02,Asia,78119713.65
Boeing 747,10,2014,13795,Turbofan,10.33,664,3382.16,North America,298641453.37
Airbus A380,4,2020,15061,Turbofan,10.89,844,4893.91,Europe,325127127.49
Boeing 737,30,1994,6750,Turbofan,2.66,207,3889.89,North America,17259470.56
Boeing 737,13,2011,6915,Turbofan,2.61,216,4847.89,Africa,48521515.62
Boeing 777,25,1999,15671,Turbofan,6.24,399,838.45,Asia,89110147.48
Airbus A350-1000,3,2021,16327,Turbofan,5.66,409,3494.35,Asia,268799185.68
Airbus A350-1000,1,2023,15720,Turbofan,4.96,416,2121.22,Africa,346411149.96
Airbus A380,7,2017,15321,Turbofan,10.95,849,992.45,Oceania,343703188.0
Airbus A320,23,2001,6369,Turbofan,2.58,186,3503.94,Europe,29178470.76
Cessna 172,13,2011,925,Piston,0.04,4,1440.51,Europe,206059.79
Cessna 172,0,2024,1258,Piston,0.04,4,1766.02,Middle East,339138.28
Airbus A350-1000,4,2020,15950,Turbofan,5.41,414,718.88,Middle East,344177263.15
Airbus A350-1000,4,2020,15779,Turbofan,4.94,408,947.11,Europe,254479590.68
Boeing 737,31,1993,6674,Turbofan,2.93,212,790.8,Oceania,22090812.92
Airbus A320,33,1991,6718,Turbofan,2.55,189,3735.2,Oceania,16466776.15
Boeing 737,9,2015,6783,Turbofan,2.75,213,4172.99,South America,54723102.64
Cessna 172,8,2016,1486,Piston,0.04,4,547.76,Asia,236000.81
Boeing 737,6,2018,6782,Turbofan,2.53,200,2502.34,Middle East,72677585.93
Cessna 172,20,2004,980,Piston,0.04,4,1044.52,Middle East,161645.75
Boeing 747,2,2022,13432,Turbofan,10.75,652,1441.91,Europe,404473507.97
Cessna 172,27,1997,1096,Piston,0.04,4,2505.07,Middle East,100000.0
Cessna 172,3,2021,942,Piston,0.04,4,4114.58,Oceania,303263.97
Boeing 777,20,2004,15843,Turbofan,6.7,391,1409.31,Africa,104660800.39
Boeing 737,15,2009,6850,Turbofan,2.76,202,2922.27,Asia,42709388.1
Boeing 747,34,1990,13935,Turbofan,10.22,650,2048.33,Asia,72314946.23
Airbus A320,18,2006,6010,Turbofan,2.26,175,3357.74,South America,43203494.99
Airbus A350-1000,6,2018,16085,Turbofan,5.7,403,2076.8,Middle East,276764362.82
Boeing 737,14,2010,6249,Turbofan,2.79,203,1808.11,North America,54864558.35
Airbus A320,6,2018,6231,Turbofan,2.67,170,2959.39,Middle East,59708324.84
Airbus A320,19,2005,6133,Turbofan,2.74,185,1634.96,Africa,35435157.81
Airbus A350-1000,1,2023,16265,Turbofan,5.03,408,1438.81,Asia,412502977.01
Airbus A320,13,2011,6242,Turbofan,2.5,185,4302.56,Middle East,47677068.52
Boeing 747,27,1997,13489,Turbofan,10.29,666,2123.05,Africa,107643467.77
Airbus A380,11,2013,15601,Turbofan,12.16,856,2330.34,Africa,289102016.56
Airbus A350-1000,6,2018,16240,Turbofan,5.6,412,1770.27,South America,238283290.57
Airbus A350-1000,6,2018,16088,Turbofan,5.7,406,4696.94,Oceania,229069962.05
Cessna 172,9,2015,1171,Piston,0.04,4,1306.79,Asia,282352.14
Boeing 737,26,1998,6076,Turbofan,2.95,218,3198.58,Asia,28271496.54
Cessna 172,4,2020,1410,Piston,0.04,4,2987.51,Europe,285314.17
Airbus A350-1000,1,2023,15939,Turbofan,4.92,401,1994.15,Europe,391531591.4
Boeing 737,29,1995,6453,Turbofan,2.53,217,1242.56,Africa,23154834.78
Boeing 777,16,2008,15324,Turbofan,6.33,389,1694.55,Asia,176597181.45
Airbus A380,12,2012,14875,Turbofan,12.99,849,1387.62,Oceania,200957185.42
Cessna 172,22,2002,1341,Piston,0.04,4,744.8,North America,149780.98
Boeing 747,29,1995,14204,Turbofan,10.36,670,4334.14,Europe,102491103.79
Boeing 777,4,2020,15880,Turbofan,6.4,403,3251.86,Middle East,329723430.45
Boeing 747,3,2021,13964,Turbofan,10.34,665,2135.57,Asia,341689578.69
Airbus A320,23,2001,6676,Turbofan,2.56,188,1668.07,Middle East,34501156.62
Airbus A320,32,1992,6176,Turbofan,2.61,183,2296.65,Middle East,21478065.91
Airbus A350-1000,7,2017,16301,Turbofan,4.86,401,2541.15,Middle East,204685583.99
Airbus A380,5,2019,14869,Turbofan,11.08,850,2639.33,Africa,361994688.15
Airbus A380,7,2017,15514,Turbofan,12.12,857,3977.2,South America,284992325.84
Cessna 172,1,2023,1419,Piston,0.04,4,4634.6,Asia,445698.19
Cessna 172,8,2016,1489,Piston,0.04,4,2076.39,Africa,229381.87
Airbus A320,25,1999,6474,Turbofan,2.75,184,3993.64,Oceania,29909255.86
Airbus A350-1000,5,2019,16302,Turbofan,5.43,416,2180.42,Africa,256497052.82
Cessna 172,26,1998,1648,Piston,0.04,4,3661.47,South America,100000.0
Cessna 172,26,1998,1096,Piston,0.04,4,2913.62,South America,123371.34
Boeing 777,4,2020,15518,Turbofan,6.33,397,910.96,Africa,281803281.96
Airbus A380,16,2008,15449,Turbofan,11.43,847,2317.85,South America,204432315.27
Airbus A320,20,2004,6259,Turbofan,2.72,174,3214.44,Asia,30257258.6
Airbus A380,13,2011,14957,Turbofan,11.71,854,3574.39,Oceania,215433653.25
Airbus A350-1000,3,2021,15688,Turbofan,5.54,404,4824.78,North America,273121277.67
Boeing 737,8,2016,6654,Turbofan,2.64,214,1196.99,South America,58361743.26
Airbus A350-1000,6,2018,16187,Turbofan,5.17,401,4410.38,Europe,256623718.46
Airbus A320,6,2018,5822,Turbofan,2.64,177,1573.07,South America,85607092.82
Boeing 737,13,2011,6082,Turbofan,2.97,211,1832.46,North America,49087482.1
Boeing 777,6,2018,15813,Turbofan,7.39,399,4678.08,North America,273941719.82
Cessna 172,17,2007,1239,Piston,0.04,4,3224.4,South America,191267.4
Boeing 737,19,2005,6716,Turbofan,2.44,210,1972.5,Africa,31063781.32
Airbus A350-1000,3,2021,16097,Turbofan,5.58,401,771.99,Middle East,254313181.17
Airbus A320,33,1991,6643,Turbofan,2.67,173,3764.39,Europe,16546974.59
Airbus A350-1000,7,2017,15711,Turbofan,5.0,401,1664.15,South America,232248946.69
Boeing 777,14,2010,15432,Turbofan,6.23,399,1629.16,Asia,207993809.05
Boeing 777,7,2017,15312,Turbofan,6.4,388,3457.52,Oceania,279918770.92
Airbus A320,18,2006,5952,Turbofan,2.39,181,968.51,Europe,39005105.4
Airbus A380,14,2010,14833,Turbofan,12.83,858,1577.57,Oceania,247439401.43
Airbus A380,16,2008,15622,Turbofan,11.71,847,2483.77,South America,214774244.26
Airbus A350-1000,8,2016,15765,Turbofan,5.36,402,1247.97,Europe,207118357.99
Airbus A350-1000,3,2021,15639,Turbofan,4.82,411,2170.01,Middle East,290922069.72
Boeing 777,6,2018,15999,Turbofan,6.71,402,2231.94,South America,237347340.95
Boeing 777,13,2011,15484,Turbofan,6.45,390,866.84,South America,148828372.67
Boeing 777,27,1997,15904,Turbofan,7.0,406,4201.32,Oceania,96766335.25
Boeing 737,10,2014,6908,Turbofan,2.75,206,2874.56,Europe,69724258.27
Boeing 777,6,2018,15791,Turbofan,6.85,400,845.07,Asia,222378190.12
Boeing 777,14,2010,15895,Turbofan,7.27,391,982.45,Middle East,197620408.46
Boeing 737,19,2005,6809,Turbofan,2.78,208,1564.89,Middle East,43840434.1
Boeing 777,5,2019,15899,Turbofan,7.03,393,3320.63,North America,255799185.42
Airbus A350-1000,5,2019,16304,Turbofan,5.4,401,4786.87,Middle East,233124750.06
Airbus A380,12,2012,15524,Turbofan,12.38,850,4633.65,South America,211459502.16
Airbus A380,11,2013,15486,Turbofan,12.0,846,1737.4,Asia,270289367.06
Airbus A350-1000,0,2024,15821,Turbofan,5.39,414,2174.05,Middle East,408064834.85
Boeing 777,14,2010,15977,Turbofan,7.1,392,3414.75,Asia,148166873.41
Boeing 777,9,2015,15668,Turbofan,6.5,392,1077.64,South America,199152197.06
Cessna 172,2,2022,1701,Piston,0.04,4,1074.36,South America,309758.84
Boeing 777,2,2022,15960,Turbofan,7.39,390,1902.49,Europe,379363637.81
Boeing 737,10,2014,6241,Turbofan,2.6,206,4679.84,Africa,58085791.73
Boeing 737,17,2007,7059,Turbofan,2.67,214,2919.04,Africa,39743781.37
Airbus A350-1000,5,2019,15654,Turbofan,5.17,407,3741.67,Oceania,287029807.65
Boeing 777,1,2023,15449,Turbofan,6.89,405,3481.44,Europe,395354252.82
Boeing 777,11,2013,15300,Turbofan,6.95,391,3391.55,Europe,238007470.38
Boeing 777,3,2021,15510,Turbofan,6.72,393,3778.13,Asia,340627362.05
Cessna 172,0,2024,1488,Piston,0.04,4,1148.18,Europe,407232.36
Airbus A350-1000,1,2023,16432,Turbofan,5.46,420,1926.52,Middle East,355357977.38
Cessna 172,8,2016,1293,Piston,0.04,4,524.82,North America,314067.79
Boeing 747,7,2017,13554,Turbofan,10.41,653,1658.51,North America,264308161.9
Cessna 172,23,2001,1701,Piston,0.04,4,4695.5,South America,129048.43
Cessna 172,31,1993,1236,Piston,0.04,4,1511.77,North America,100000.0
Boeing 777,26,1998,15383,Turbofan,6.55,401,4229.13,Europe,113219606.46
Cessna 172,28,1996,1529,Piston,0.04,4,2123.07,North America,100000.0
Airbus A320,18,2006,6786,Turbofan,2.58,190,4734.78,North America,33369331.74
Boeing 777,4,2020,15335,Turbofan,6.28,397,4327.61,Europe,346750963.19
Airbus A320,6,2018,6053,Turbofan,2.45,179,2119.87,Middle East,62659594.35
Airbus A380,15,2009,15388,Turbofan,11.0,848,2480.42,South America,192964358.42
Cessna 172,10,2014,1292,Piston,0.04,4,1146.94,Africa,216495.67
Airbus A350-1000,8,2016,16229,Turbofan,5.7,402,4152.44,Africa,210330805.97
Airbus A380,15,2009,15243,Turbofan,12.94,840,2473.78,South America,192683725.85
Boeing 747,18,2006,13523,Turbofan,10.81,651,2641.58,Oceania,153384017.21
Boeing 747,21,2003,13955,Turbofan,10.81,668,1472.1,North America,169003458.99
Airbus A350-1000,2,2022,16081,Turbofan,5.1,413,1784.32,North America,293116589.76
Airbus A350-1000,2,2022,15760,Turbofan,5.66,412,4432.94,North America,365201606.18
Boeing 777,11,2013,15648,Turbofan,7.42,393,3233.63,Oceania,238383335.31
Airbus A380,12,2012,15066,Turbofan,12.98,856,4415.13,North America,204734772.83
Airbus A320,3,2021,6504,Turbofan,2.37,186,864.84,North America,72593465.5
Cessna 172,9,2015,1106,Piston,0.04,4,3236.11,Europe,290798.8
Boeing 747,5,2019,13315,Turbofan,9.96,651,718.15,Europe,267769116.49
Airbus A320,10,2014,6151,Turbofan,2.67,178,2370.14,North America,53361196.91
Airbus A350-1000,8,2016,16126,Turbofan,5.2,409,924.8,Middle East,195558445.02
Airbus A320,10,2014,5814,Turbofan,2.33,188,4050.25,South America,58763319.33
Airbus A320,7,2017,6626,Turbofan,2.59,171,4142.71,South America,82011114.14
Boeing 777,30,1994,15306,Turbofan,6.37,404,3001.14,Europe,71645009.61
Cessna 172,34,1990,1503,Piston,0.04,4,4012.58,South America,100000.0
Cessna 172,9,2015,1541,Piston,0.04,4,4800.85,North America,288658.18
Boeing 737,19,2005,7005,Turbofan,2.86,211,613.26,North America,32746861.65
Boeing 747,4,2020,13797,Turbofan,10.13,655,4956.21,Oceania,398481839.88
Boeing 737,33,1991,6422,Turbofan,2.64,204,2748.36,North America,15589810.43
Airbus A380,11,2013,15222,Turbofan,12.01,842,4004.35,Middle East,288258449.77
Airbus A380,0,2024,15049,Turbofan,12.47,854,3213.8,Asia,517097118.11
Airbus A320,9,2015,6585,Turbofan,2.63,182,673.54,North America,56014622.04
Airbus A350-1000,7,2017,16228,Turbofan,5.23,419,4657.97,Middle East,266896706.2
Airbus A380,17,2007,14764,Turbofan,10.88,852,1992.29,Africa,178531364.04
Airbus A320,5,2019,6695,Turbofan,2.43,176,4477.25,Oceania,74702623.21
Boeing 737,8,2016,6723,Turbofan,2.91,205,2524.24,Asia,72058796.89
Boeing 737,3,2021,6455,Turbofan,2.82,220,1623.2,Asia,75867707.46
Airbus A350-1000,5,2019,16253,Turbofan,5.62,404,2981.64,Africa,257480901.4
Airbus A380,19,2005,15691,Turbofan,11.2,846,3306.81,North America,171769293.97
Boeing 737,0,2024,6876,Turbofan,2.66,204,962.47,South America,92470877.32
Airbus A350-1000,3,2021,16351,Turbofan,5.29,408,1048.53,Africa,317120704.22
Cessna 172,33,1991,1334,Piston,0.04,4,723.14,South America,100000.0
Airbus A380,2,2022,15517,Turbofan,12.47,846,1545.76,North America,430601717.42
Airbus A350-1000,2,2022,16304,Turbofan,5.07,412,4296.2,Africa,365347793.9
Airbus A320,1,2023,5889,Turbofan,2.43,187,1164.06,Asia,82332767.46
Cessna 172,29,1995,1189,Piston,0.04,4,717.95,Middle East,102294.57
Boeing 747,31,1993,13526,Turbofan,10.41,663,3829.04,Oceania,95910416.7
Airbus A320,34,1990,6045,Turbofan,2.74,180,2899.79,Oceania,18366861.28
Boeing 737,32,1992,6154,Turbofan,2.8,215,2225.57,Europe,18412102.16
Airbus A320,10,2014,6724,Turbofan,2.5,182,2894.77,Europe,59985388.96
Airbus A350-1000,5,2019,15955,Turbofan,4.93,414,4002.14,North America,304786092.48
Airbus A350-1000,8,2016,16027,Turbofan,5.3,416,3125.81,Oceania,250988643.28
Airbus A320,1,2023,5948,Turbofan,2.71,189,620.03,Europe,83530545.78
Airbus A350-1000,7,2017,16134,Turbofan,4.96,415,4713.52,Europe,259815632.44
Boeing 737,16,2008,6806,Turbofan,2.89,203,2969.75,Asia,46080517.59
Airbus A320,6,2018,6172,Turbofan,2.28,177,1989.27,Oceania,69844696.38
Boeing 737,20,2004,7016,Turbofan,2.86,220,2304.9,Asia,30422646.66
Boeing 777,14,2010,15597,Turbofan,7.23,399,4153.83,Europe,170704589.79
Airbus A380,14,2010,14804,Turbofan,12.48,851,1722.73,South America,218512922.15
Airbus A380,19,2005,15069,Turbofan,11.58,844,3307.83,North America,168355868.74
Boeing 737,2,2022,6572,Turbofan,2.76,210,2910.57,North America,80219719.96
Cessna 172,32,1992,1575,Piston,0.04,4,1609.02,Oceania,100000.0
Airbus A320,30,1994,6737,Turbofan,2.69,190,4863.54,South America,21913986.61
Boeing 777,4,2020,15406,Turbofan,6.54,388,3561.04,Oceania,342142748.52
Cessna 172,2,2022,921,Piston,0.04,4,4498.84,Europe,401611.83
Boeing 747,1,2023,13796,Turbofan,9.1,650,3927.22,Asia,447068057.22
Boeing 747,21,2003,14289,Turbofan,9.24,670,2096.01,North America,135400727.46
Airbus A350-1000,3,2021,15802,Turbofan,4.87,416,2873.13,Middle East,340819679.3
Boeing 737,22,2002,6358,Turbofan,2.65,215,2517.68,Asia,26605182.61
Cessna 172,33,1991,1372,Piston,0.04,4,1906.44,North America,100000.0
Airbus A350-1000,7,2017,15916,Turbofan,5.66,411,1257.15,Asia,285277369.3
Airbus A350-1000,6,2018,15974,Turbofan,4.79,409,3649.96,Oceania,311543735.55
Airbus A380,10,2014,14723,Turbofan,12.81,841,2167.99,North America,265126648.72
Airbus A320,25,1999,6022,Turbofan,2.52,181,4856.11,South America,23184444.71
Boeing 737,1,2023,6468,Turbofan,2.82,220,857.43,Oceania,103645500.23
Cessna 172,14,2010,1140,Piston,0.04,4,4632.47,Oceania,185961.19
Cessna 172,2,2022,1591,Piston,0.04,4,587.46,Oceania,400812.32
Boeing 747,11,2013,13957,Turbofan,9.1,654,1878.23,South America,265154564.48
Boeing 737,12,2012,6199,Turbofan,2.6,207,1946.25,Middle East,43074963.56
Airbus A380,14,2010,14739,Turbofan,12.61,855,1761.48,Europe,203558031.68
Airbus A320,15,2009,5832,Turbofan,2.68,174,2726.48,Middle East,49760646.0
Airbus A320,18,2006,5932,Turbofan,2.62,178,2267.35,Africa,40669575.55
Boeing 737,24,2000,6937,Turbofan,2.86,220,2589.27,Africa,32623582.62
Cessna 172,31,1993,1667,Piston,0.04,4,3148.28,South America,100000.0
Airbus A380,13,2011,15660,Turbofan,12.15,857,2796.08,South America,252637094.66
Airbus A350-1000,2,2022,16049,Turbofan,5.52,405,1358.19,North America,287197541.49
Boeing 747,8,2016,13735,Turbofan,10.58,667,4805.23,Asia,299720390.32
Airbus A380,7,2017,14725,Turbofan,12.54,857,1704.39,Africa,329817858.32
Boeing 747,12,2012,13333,Turbofan,10.9,653,4022.35,Middle East,258472947.79
Boeing 747,29,1995,14135,Turbofan,10.2,651,4441.64,North America,95550272.26
Boeing 777,24,2000,15762,Turbofan,7.41,395,4904.38,Oceania,124052133.18
Boeing 737,10,2014,6341,Turbofan,2.45,211,1898.65,Europe,60243920.02
Cessna 172,13,2011,1072,Piston,0.04,4,3491.04,Europe,226989.14
Cessna 172,6,2018,1780,Piston,0.04,4,3916.18,Oceania,312044.46
Airbus A350-1000,0,2024,15877,Turbofan,4.83,412,2086.17,South America,344604864.85
